Faculty,Startup,Cohort,Gender,Cohort_Copy,Year
,Hubrary,7th,,7.0,2022
,MelaseNZ - Diagnoztics,7th,,7.0,2022
,Rufoof,Current,,,
,Meeting Point,Current,,,
,REUS,11th,,11.0,2024
,Apartments App,11th,,11.0,2024
,Algo-Rhythm,11th,,11.0,2024
,Diabetes fragility Detector,11th,,11.0,2024
,StepAhead,11th,,11.0,2024
,ForestShield,11th,,11.0,2024
,Social Order,11th,,11.0,2024
,Airtlas,11th,,11.0,2024
,Fake News finder  app/web,11th,,11.0,2024
,PAOZA,11th,,11.0,2024
,getlose,11th,,11.0,2024
,תנועת ההתיישבות בנגב המערבי,10th,,10.0,2023
,Charge4car,10th,,10.0,2023
,The DocMapper,10th,,10.0,2023
,Shifty,10th,,10.0,2023
,Infolin,10th,,10.0,2023
,sandra,10th,,10.0,2023
,Customized Podcast,10th,,10.0,2023
,BSO,10th,,10.0,2023
,An Implanted Syringe,9th,,9.0,2023
,Louder,9th,,9.0,2023
,Remora,9th,,9.0,2023
,Mashcantas,9th,,9.0,2023
,Dit by nosolo,9th,,9.0,2023
,Indonesia Israel Center,8th,,8.0,2022
,Nitro-gen,8th,,8.0,2022
,,,,,
,Skua.ai,7th,,7.0,2022
,DV,7th,,7.0,2022
,Havaya חוויה,7th,,7.0,2022
,M-adas,7th,,7.0,2022
,Hubrary,7th,,7.0,2022
,"""Automato system , startup : AgriTech Innovations""",11th,,11.0,2024
,Algo-Rhythm,11th,,11.0,2024
,StepAhead,11th,,11.0,2024
,ForestShield,11th,,11.0,2024
,RightTrack,11th,,11.0,2024
,Airtlas,11th,,11.0,2024
,תנועת ההתיישבות בנגב המערבי,10th,,10.0,2023
,MilliCare,9th,,9.0,2023
,Remora,9th,,9.0,2023
,Dit by nosolo,9th,,9.0,2023
,Avatar Bill,9th,,9.0,2023
,,,,,
,DV,7th,,7.0,2022
,EduVision,7th,,7.0,2022
,ORO,7th,,7.0,2022
,Skils,7th,,7.0,2022
Business and Management,Fake News finder  app/web,11th,Female,11.0,2024
Humanities and Social Sciences,The Negev Soundscape,5th,,5.0,2021
Engineering,first aid for anaphylaxis,7th,Female,7.0,2022
Engineering,Apartments App,11th,Male,11.0,2024
Engineering,Giraffe,10th,Male,10.0,2023
Engineering,Welfare in dairy-barn,6th,Male,6.0,2021
Business and Management,About The Fit,6th,Male,6.0,2021
Health Sciences,Hospitality,5th,,5.0,2021
Humanities and Social Sciences,SOUL - הרעיון שלי עוסק בתחום בריאות הנפש,7th,Female,7.0,2022
,REUS,11th,Female,11.0,2024
Engineering,Data compound,6th,Male,6.0,2021
Engineering,TrueMate,4th,,4.0,2020
Business and Management,About The Fit,6th,Female,6.0,2021
Engineering,Double date app,10th,Female,10.0,2023
Humanities and Social Sciences,EcoAc,8th,Female,8.0,2022
Business and Management,Dsee,Current,Female,,
Engineering,AYO-ADVERTISING YOUR OWN,4th,,4.0,2020
,TheraPlay,7th,Male,7.0,2022
Humanities and Social Sciences,Ofir Englander,6th,Male,6.0,2021
,CommuniPass,Current,Male,,
Engineering,doorman,5th,,5.0,2021
Business and Management,Remora,9th,Male,9.0,2023
Engineering,,,Male,,
Engineering,,,Male,,
Business and Management,,,Male,,
Engineering,,,Male,,
Business and Management,,,Male,,
Health Sciences,,,Male,,
Natural Sciences,,,Male,,
Engineering,,,,,
Humanities and Social Sciences,Swift Response,6th,Female,6.0,2021
Engineering,GlaucoMonitor,9th,Male,9.0,2023
Business and Management,Price Backers,6th,Male,6.0,2021
Health Sciences,עדיין אין שם,11th,Male,11.0,2024
Engineering,vacation planner based on AI,9th,Male,9.0,2023
Engineering,Merom,10th,Male,10.0,2023
Engineering,Nexme,5th,,5.0,2021
Engineering,Test Me,4th,,4.0,2020
Engineering,PLAIBOOK,11th,Male,11.0,2024
Engineering,Spread-It,5th,,5.0,2021
Engineering,MilliCare,9th,Male,9.0,2023
Engineering,Cor-e,6th,Male,6.0,2021
Engineering,HairU,10th,Male,10.0,2023
,sandra,10th,Male,10.0,2023
Engineering,Medical Dispenser,6th,Male,6.0,2021
Natural Sciences,Indy,4th,,4.0,2020
Engineering,EIO,11th,Male,11.0,2024
Engineering,Smart Sprinkler,6th,Male,6.0,2021
Humanities and Social Sciences,Desite,10th,Female,10.0,2023
,Cutt,10th,Male,10.0,2023
Natural Sciences,it still doesnt have a name... :),8th,Male,8.0,2022
Business and Management,teNGO(Tech-NGO),4th,,4.0,2020
,Simplan,11th,Male,11.0,2024
Business and Management,Mechef,5th,,5.0,2021
Engineering,Roommate,10th,Male,10.0,2023
,Mommy,9th,Male,9.0,2023
Humanities and Social Sciences,Savanna Sun,4th,,4.0,2020
Engineering,Color Comparison between two objects - The ZikoScope,7th,Male,7.0,2022
Health Sciences,Park king,10th,Female,10.0,2023
Humanities and Social Sciences,ISRBILLS,11th,Female,11.0,2024
Natural Sciences,MonkeyGunz,8th,Male,8.0,2022
,"""Our idea is to create a community-driven app that motivates children to engage in regular physical activity by connecting them with peers for group sports and fitness challenges. Kids can form teams, participate in personalized and group challenges, and track their steps and activity levels, receiving rewards for meeting specific goals. This gamified approach makes exercise fun and social, as children earn prizes for reaching step counts and completing various challenges, whether set individually or as a team. By fostering a sense of community, teamwork, and healthy competition, the app encourages kids to embrace a more active and balanced lifestyle.""",Current,Female,,
Engineering,bioreactor optimization,10th,Male,10.0,2023
Engineering,NWoBD,6th,Male,6.0,2021
Natural Sciences,Confessions,5th,,5.0,2021
Business and Management,safetour,10th,Male,10.0,2023
Engineering,"""Automato system , startup : AgriTech Innovations""",11th,Male,11.0,2024
Health Sciences,,,Male,,
Health Sciences,,,Male,,
Health Sciences,,,Male,,
Natural Sciences,Companionship Quest \ Friendship,10th,Male,10.0,2023
Natural Sciences,Tmed,8th,Male,8.0,2022
Engineering,ScubaSafe,5th,,5.0,2021
Engineering,RightTrack,11th,Female,11.0,2024
Engineering,MingleMarkets,10th,Male,10.0,2023
Business and Management,Mechef,5th,,5.0,2021
Engineering,Runeat,4th,,4.0,2020
Engineering,3D Printer Filaments Combining,4th,,4.0,2020
,EasyHouse,7th,Male,7.0,2022
Engineering,Ayzex Consulting,6th,Male,6.0,2021
Engineering,SmartNet,4th,,4.0,2020
Engineering,🌵 🎓jolly,Cactus Academy,,,
Humanities and Social Sciences,Israel Eco Friendly,5th,,5.0,2021
Business and Management,Hubrary,7th,Female,7.0,2022
Business and Management,hubrary,6th,Female,6.0,2021
Business and Management,🌵 🎓EasyParking,Cactus Academy,,,
Engineering,Kazoom,4th,,4.0,2020
Business and Management,Let’s Roll,5th,,5.0,2021
Engineering,foodata,9th,Female,9.0,2023
Health Sciences,Thunder.Health,9th,Female,9.0,2023
,A SLEEP-AID FORMULATION COMPRISING IMMEDIATE RELEASE AND DELAYED- RELEASE COMPOSITIONS;,11th,Male,11.0,2024
Business and Management,ElectroBlock,8th,Male,8.0,2022
Engineering,Let's Meet,4th,,4.0,2020
Engineering,Blabber,Current,Male,,
Natural Sciences,Blocky,4th,,4.0,2020
,Whilx,10th,Male,10.0,2023
,Kasset,9th,Male,9.0,2023
Engineering,suppliers,11th,Male,11.0,2024
Engineering,CommonSense,10th,Male,10.0,2023
Natural Sciences,Bang your head,10th,Male,10.0,2023
Business and Management,Let's Meet,4th,,4.0,2020
Natural Sciences,alert-me,7th,Male,7.0,2022
Engineering,Double date app,10th,Female,10.0,2023
Engineering,first aid for anaphylaxis,7th,Female,7.0,2022
Engineering,RightTrack,11th,Female,11.0,2024
Engineering,clicV,6th,Male,6.0,2021
Business and Management,CatchApp,7th,Female,7.0,2022
Humanities and Social Sciences,Hydro-climate,5th,,5.0,2021
Engineering,Sensora,9th,Male,9.0,2023
Engineering,Shake it,8th,Male,8.0,2022
Engineering,Shake It,7th,Male,7.0,2022
Engineering,STEP Bypass Prosthesis,11th,Female,11.0,2024
Health Sciences,ChatPDFbASKETBALL,,Male,,
Health Sciences,i.vus,9th,Male,9.0,2023
Engineering,Partya,9th,Male,9.0,2023
Natural Sciences,InSolution,8th,Male,8.0,2022
Engineering,Data compound,6th,Male,6.0,2021
,Optimizing Doctor Appointments,7th,Male,7.0,2022
Business and Management,Skils,7th,Female,7.0,2022
Engineering,,,Male,,
Business and Management,Ventim,10th,Male,10.0,2023
Engineering,Application to sell clothes secondhand (all over Israel),8th,Male,8.0,2022
,פטריוֹת בריאוּת,10th,Female,10.0,2023
Health Sciences,DrugcheQ - Prevention of adverse drug  interactions and side effects,4th,,4.0,2020
,,,,,
Humanities and Social Sciences,Friendly - AI-powered matching system that connects nearby city moms based on needs and proximity,11th,Female,11.0,2024
Business and Management,Marsa,4th,,4.0,2020
Engineering,WOXYGEN,10th,Male,10.0,2023
Engineering,BSO,10th,Male,10.0,2023
Engineering,Merom,10th,Male,10.0,2023
Engineering,smart waste,4th,,4.0,2020
,Mashcantas,9th,Male,9.0,2023
Business and Management,Lebsh,9th,Female,9.0,2023
Engineering,EndOFTraffic,8th,Male,8.0,2022
Health Sciences,STEP Bypass Prosthesis,11th,Male,11.0,2024
Health Sciences,taloza store,7th,Male,7.0,2022
Engineering,sensors box,10th,Male,10.0,2023
Humanities and Social Sciences,International Student Network Against Antisemitism,5th,,5.0,2021
Health Sciences,,,Male,,
Health Sciences,,,,,
Humanities and Social Sciences,🌵🎓Fluffy,Cactus Academy,,,
Business and Management,,,Male,,
Business and Management,,,Male,,
Humanities and Social Sciences,Sentimedia.io,8th,Male,8.0,2022
Engineering,Prostate Cancer – Two Ways of Treatment,5th,,5.0,2021
Engineering,Genesis AI,8th,Male,8.0,2022
Business and Management,🌵 🎓Wacky,Cactus Academy,,,
Business and Management,Application for reporting available parking spaces,9th,Female,9.0,2023
Business and Management,SunCar,8th,Female,8.0,2022
,EduTAllor,11th,Female,11.0,2024
Engineering,MagneTube (a medical products),9th,Female,9.0,2023
Engineering,Togather,8th,Male,8.0,2022
Business and Management,Auto Interpretation and Transformation of ECGs strips,7th,Male,7.0,2022
,ghostwrite ai,10th,Male,10.0,2023
Engineering,Own-The-Job,4th,,4.0,2020
Engineering,Meeting Point,Current,Male,,
Health Sciences,PAOZA,11th,Female,11.0,2024
Business and Management,Soda water on the go  instant,4th,,4.0,2020
Humanities and Social Sciences,AlcoBid,6th,Male,6.0,2021
Engineering,Simplan,11th,Female,11.0,2024
Health Sciences,GoBalance,5th,,5.0,2021
Engineering,Indepen.Date,6th,,6.0,2021
Engineering,Boobies,7th,Female,7.0,2022
Business and Management,Sensora,9th,Male,9.0,2023
Engineering,SecondFirst,9th,Female,9.0,2023
Engineering,SwapIt,8th,Female,8.0,2022
Engineering,FACilNUEVO,8th,Female,8.0,2022
Engineering,SeguronZone,8th,Female,8.0,2022
Natural Sciences,Tutor,7th,Female,7.0,2022
Business and Management,End-To-End Web Platform for ECG Short Strips Tracking and Interpretation,8th,Male,8.0,2022
Engineering,ghostwrite ai,10th,Male,10.0,2023
Engineering,ElectroBlock,8th,Male,8.0,2022
Business and Management,Skils,7th,Female,7.0,2022
Business and Management,TripTip,10th,Female,10.0,2023
,MonkeyGunz,8th,Male,8.0,2022
Humanities and Social Sciences,UNIMAP,8th,Female,8.0,2022
Humanities and Social Sciences,אפליקצית ניווט,7th,Female,7.0,2022
Business and Management,BizBloom,9th,Female,9.0,2023
Business and Management,Dialog,6th,Female,6.0,2021
Humanities and Social Sciences,"""לש""""מ- לצורך שפה משותפת""",5th,,5.0,2021
Humanities and Social Sciences,TheraPlay,5th,,5.0,2021
Engineering,Cyclelytics,11th,Female,11.0,2024
Humanities and Social Sciences,Toilet cleaner,10th,Female,10.0,2023
Humanities and Social Sciences,חזותית,7th,Female,7.0,2022
,Fake News finder  app/web,11th,Female,11.0,2024
Engineering,Optivf - find the optimal IVF protocol for you,6th,Female,6.0,2021
Natural Sciences,Blocky,4th,,4.0,2020
Business and Management,WooCircles,6th,Female,6.0,2021
Engineering,Indepen.Date,6th,,6.0,2021
Engineering,GoBalance,5th,,5.0,2021
Engineering,attachable modular wheelchair accessories,9th,Male,9.0,2023
Humanities and Social Sciences,,,Male,,
Humanities and Social Sciences,,,Male,,
Humanities and Social Sciences,2nd Language,6th,Female,6.0,2021
Humanities and Social Sciences,down2earth,11th,Female,11.0,2024
Engineering,Cpp,9th,Male,9.0,2023
Natural Sciences,WiseWatch,10th,Male,10.0,2023
Natural Sciences,Athena,10th,Male,10.0,2023
Natural Sciences,Click Delivery,7th,Male,7.0,2022
Humanities and Social Sciences,Swift Response,6th,Male,6.0,2021
Business and Management,BizBloom,11th,Male,11.0,2024
Business and Management,BizBloom,9th,Male,9.0,2023
Engineering,HelmHat,11th,Male,11.0,2024
Engineering,Parking Finder App,11th,Male,11.0,2024
Engineering,automatic judge,9th,Female,9.0,2023
Engineering,Amenoti,9th,Male,9.0,2023
Business and Management,TeachMe,8th,Female,8.0,2022
Engineering,Helm-Hat,5th,,5.0,2021
Natural Sciences,Blocky,4th,,4.0,2020
,BizBloom,11th,Male,11.0,2024
Health Sciences,איפה אפי,9th,Female,9.0,2023
Health Sciences,IdeaCenter,10th,Female,10.0,2023
Engineering,Smenu,7th,Male,7.0,2022
Humanities and Social Sciences,i - Therapy,9th,Male,9.0,2023
Humanities and Social Sciences,i - Therapy,8th,Male,8.0,2022
Engineering,TheraPlay,7th,Male,7.0,2022
Natural Sciences,Classmate,Current,Male,,
Engineering,TheraPlay,5th,,5.0,2021
Humanities and Social Sciences,RightTrack,11th,Male,11.0,2024
Humanities and Social Sciences,Anxiety stress and depression without therapyst,6th,,6.0,2021
Engineering,,,Male,,
Business and Management,,,Male,,
Humanities and Social Sciences,,,Male,,
Humanities and Social Sciences,Green Africa,8th,Male,8.0,2022
Business and Management,MagneTube (a medical products),9th,Male,9.0,2023
Engineering,Welfare in dairy-barn,6th,Male,6.0,2021
Engineering,RELOW,6th,Male,6.0,2021
Engineering,Doggy,5th,,5.0,2021
Engineering,Data compound,6th,Female,6.0,2021
Humanities and Social Sciences,Near me,6th,Male,6.0,2021
Natural Sciences,Eroom,11th,Male,11.0,2024
Business and Management,Pop Star,9th,Male,9.0,2023
Humanities and Social Sciences,Goaly,9th,Male,9.0,2023
Engineering,PrepMe,7th,Male,7.0,2022
Engineering,Loops,6th,Male,6.0,2021
Natural Sciences,Eroom,11th,Male,11.0,2024
Engineering,Loanli,4th,,4.0,2020
Humanities and Social Sciences,Savanna Sun,4th,,4.0,2020
Natural Sciences,Nilus,4th,,4.0,2020
Engineering,Properlis,5th,,5.0,2021
Engineering,PlaceLess,6th,Male,6.0,2021
,DeliGate,10th,Male,10.0,2023
Engineering,An Implanted Syringe,9th,Male,9.0,2023
Engineering,Implanted Syringe,9th,Male,9.0,2023
Engineering,toqa,8th,Female,8.0,2022
Natural Sciences,Groupi,10th,Male,10.0,2023
Natural Sciences,Groupi,9th,Male,9.0,2023
Health Sciences,foodata,9th,Male,9.0,2023
Engineering,Plant-Sitter,10th,Male,10.0,2023
,ORO,7th,Male,7.0,2022
Engineering,EnterCom,5th,,5.0,2021
Engineering,Cytox,11th,Male,11.0,2024
Engineering,Marineford,6th,Male,6.0,2021
,ElectriWall,9th,Male,9.0,2023
Natural Sciences,We Power Energy Company,Current,Male,,
Natural Sciences,ZamFresh Poultry Farm,Current,Male,,
Engineering,NoName,7th,Male,7.0,2022
Exact Science,EnterCom,5th,,5.0,2021
Natural Sciences,Shifty,10th,Female,10.0,2023
Humanities and Social Sciences,ספרותא,11th,Female,11.0,2024
Humanities and Social Sciences,A system for monitoring and analyzing people's profiles for psychological treatment appropriate to their data,9th,Female,9.0,2023
Business and Management,Rescue,10th,Female,10.0,2023
,Miss Moving On,9th,Female,9.0,2023
Humanities and Social Sciences,Desite,10th,Female,10.0,2023
Natural Sciences,Acneowledge,11th,Female,11.0,2024
Business and Management,🌵 🎓jolly,Cactus Academy,,,
Engineering,Groops,10th,Male,10.0,2023
Engineering,E.C.H.O,11th,Male,11.0,2024
,Tipsy King,11th,Male,11.0,2024
Engineering,Jiv,10th,Male,10.0,2023
Engineering,ECHO,10th,Male,10.0,2023
Engineering,ECHO,10th,Male,10.0,2023
Engineering,Get Expert,8th,Male,8.0,2022
Natural Sciences,sunscreen.io,7th,Male,7.0,2022
Natural Sciences,,,Male,,
Natural Sciences,Sunscreen.io,7th,Male,7.0,2022
Engineering,FireFight,6th,Male,6.0,2021
Engineering,soilio,9th,Male,9.0,2023
Business and Management,C.C.M - City Culture Management,5th,,5.0,2021
Business and Management,LoBigDeal,7th,Male,7.0,2022
Engineering,P.EYE.NO,5th,,5.0,2021
Engineering,Orbital Pixies,11th,Male,11.0,2024
Humanities and Social Sciences,Desert Flower Industries,6th,Male,6.0,2021
Engineering,The Priest,9th,Female,9.0,2023
Engineering,Kazoom,4th,,4.0,2020
Engineering,Mechef,5th,,5.0,2021
Engineering,WOXYGEN,10th,Male,10.0,2023
Natural Sciences,"""Youlisten-Improving productivity in self learning via video watching , Keeps you focused""",7th,Male,7.0,2022
Engineering,TalentFlow,10th,Male,10.0,2023
Business and Management,Rescue,10th,Female,10.0,2023
Business and Management,Miss Moving On,9th,Female,9.0,2023
Humanities and Social Sciences,NFThrone,6th,,6.0,2021
Humanities and Social Sciences,Altrainative,6th,,6.0,2021
Engineering,BugAI,7th,Male,7.0,2022
Business and Management,Sensora,9th,Female,9.0,2023
Business and Management,HealthSync - Personalized Health Monitoring,10th,Male,10.0,2023
Humanities and Social Sciences,Hubrary,7th,Male,7.0,2022
Humanities and Social Sciences,hubrary,6th,Male,6.0,2021
Humanities and Social Sciences,,,,,
Engineering,Lucid Sales,6th,Male,6.0,2021
Business and Management,GeniuScout,4th,,4.0,2020
Humanities and Social Sciences,TALENTIT,9th,Male,9.0,2023
Business and Management,Properlis,5th,,5.0,2021
Engineering,Darts on Demand 2,5th,,5.0,2021
Engineering,Darts On Demand,4th,,4.0,2020
Engineering,penpal,5th,,5.0,2021
Natural Sciences,ANY,10th,Male,10.0,2023
Engineering,MangaRead,8th,Male,8.0,2022
Humanities and Social Sciences,אשמח לדבר עם בן אדם לפני שאחשוף אותו,7th,Male,7.0,2022
Humanities and Social Sciences,InSolution,8th,Male,8.0,2022
Engineering,Tinder for swapping items - Aunty,7th,Male,7.0,2022
Cognitive Science,Mind Trainer (Sixth Cohort),6th,Male,6.0,2021
Business and Management,,,Male,,
Business and Management,,,Male,,
Engineering,Smart refrige,9th,Male,9.0,2023
Business and Management,WeRun,5th,,5.0,2021
Engineering,Easy way to get it,4th,,4.0,2020
,TPIM- text protection in motion,8th,Prefer not to disclose,8.0,2022
Humanities and Social Sciences,Eroom,11th,Male,11.0,2024
Engineering,Whilx,10th,Male,10.0,2023
Natural Sciences,Charge4car,10th,Male,10.0,2023
Engineering,,,Male,,
Natural Sciences,SwimSafe,4th,,4.0,2020
,TalentFlow,10th,Male,10.0,2023
Natural Sciences,Study Buddy,5th,,5.0,2021
Natural Sciences,Toparking,8th,Male,8.0,2022
Natural Sciences,jesta,7th,Male,7.0,2022
Engineering,STEP Bypass Prosthesis,11th,Male,11.0,2024
Engineering,Genesis AI,8th,Male,8.0,2022
,Driftext,10th,Male,10.0,2023
Business and Management,"""An AI platform that is trained on the data of the MAYA website and the SEC website, the platform will process information from financial statements of public companies for analysts and portfolio managers who work for stock exchange members, insurance companies, banks and brokerages. The bot will know how to answer any question about which there is information from the public reports published by the company and will also know how to indicate a reference to the source of the information from which it extracted it. The platform as a final product will be presented to the user on the desktop as his personal bot and he can ask him any question he wants instead of digging and looking for hours for the necessary information in the financial report.""",Current,Male,,
Natural Sciences,Blabber,Current,Male,,
Engineering,,,Male,,
Engineering,Safepath,Current,Male,,
Business and Management,,,Female,,
Engineering,Rufoof,Current,Male,,
Engineering,Listo,Current,Male,,
Natural Sciences,VisualDiff,Current,Male,,
Health Sciences,Caseo,Current,Male,,
Engineering,ActiveLearning,Current,Male,,
Engineering,Torli,Current,Male,,
Humanities and Social Sciences,Pick-share: location base application for sharing stuff.,6th,Female,6.0,2021
Business and Management,SwitchAroo,Current,Male,,
Engineering,Anti attack drones,Current,Male,,
Business and Management,NFThrone,Checks,Male,,
Humanities and Social Sciences,Match day,Current,Female,,
Engineering,Zeide Roma Solutions Ltd.,Current,Male,,
Humanities and Social Sciences,App which helps to read works of art independently and more,Current,Male,,
Engineering,Lamed,Current,Female,,
Business and Management,I haven't chosen a name yet.,Current,Male,,
Engineering,WormWorks,Current,Male,,
Humanities and Social Sciences,חוות רימון,4th,,4.0,2020
Engineering,Ai automation for cad design,Current,Male,,
Business and Management,מכונית מתנגשת כתחליף לרגילה למניעת תאונות,11th,Female,11.0,2024
Engineering,Dsee,Current,Female,,
Natural Sciences,Easy Hydro,Current,Male,,
Engineering,BDVTrading,Current,Male,,
,פריצת גבולות,7th,Male,7.0,2022
Health Sciences,Hospitality,5th,,5.0,2021
Business and Management,F.B Diamond,Current,Male,,
Natural Sciences,GetLoose,Current,Male,,
Engineering,getlose,11th,Male,11.0,2024
Business and Management,Classmate,Current,Male,,
Business and Management,"""Our idea is to create a community-driven app that motivates children to engage in regular physical activity by connecting them with peers for group sports and fitness challenges. Kids can form teams, participate in personalized and group challenges, and track their steps and activity levels, receiving rewards for meeting specific goals. This gamified approach makes exercise fun and social, as children earn prizes for reaching step counts and completing various challenges, whether set individually or as a team. By fostering a sense of community, teamwork, and healthy competition, the app encourages kids to embrace a more active and balanced lifestyle.""",Current,Female,,
Engineering,rAIghts,Current,Male,,
Engineering,Chess like mobile game for children,Current,Male,,
Natural Sciences,AeroAid,Current,Male,,
