Name,Path,Industry,Num Of Founders,Status,MasterPhD 
Home Diagnosis for Breast Cancer,The KICKSTARTER,"Health,HealthCare",2.0,Opted Out,Undergraduate
M-adas,The LAUNCHER,Automotive,4.0,Denied,Undergraduate
Click Delivery,The LAUNCHER,"Marketplace,Retail",2.0,Denied,Undergraduate
"Youlisten-Improving productivity in self learning via video watching , Keeps you focused",The KICKSTARTER,Education,1.0,Opted Out,Undergraduate
Color Comparison between two objects - The ZikoScope,The LAUNCHER,"IOT,HealthCare,Marketplace,Energy,Automotive",2.0,Denied,Undergraduate
SkillSwipe,The KICKSTARTER,"Mobile,AI/ML",2.0,Denied,Undergraduate
alert-me,The KICKSTARTER,Retail,2.0,Opted Out,Undergraduate
UniWorksity,The KICKSTARTER,Non profit,1.0,Opted Out,Undergraduate
Auto Interpretation and Transformation of ECGs strips,The KICKSTARTER,"Health,AI/ML,IOT",1.0,Opted Out,Undergraduate
Tutor,The KICKSTARTER,Education,2.0,Opted Out,Undergraduate
Smenu,The KICKSTARTER,Tech solutions,2.0,Denied,Undergraduate
GRIN,The KICKSTARTER,"IOT,Government,Mobile,Energy",1.0,Denied,Undergraduate
NoName,The KICKSTARTER,"Mobile,Blockchain,Marketplace",1.0,Denied,Undergraduate
Hubrary,The LAUNCHER,content creators economey,4.0,Second Follow-Up,Undergraduate
MelaseNZ - Diagnoztics,The KICKSTARTER,HealthCare,2.0,Denied,Undergraduate
TheraPlay,The LAUNCHER,"HealthCare,AI/ML,AR/VR",4.0,Denied,Undergraduate
Marineford,The KICKSTARTER,"AI/ML,Saas",4.0,Denied,Undergraduate
SynCon,The KICKSTARTER,Real Estate,4.0,Denied,Undergraduate
CT-City,The KICKSTARTER,",Government,Automotive",2.0,Opted Out,Undergraduate
Anxiety stress and depression without therapyst,The LAUNCHER,"Health,,AR/VR",1.0,Denied,Undergraduate
spidey watch,The KICKSTARTER,",security",4.0,Denied,Undergraduate
Indepen.Date,The KICKSTARTER,"Health,",2.0,Denied,Undergraduate
StopBot,The KICKSTARTER,",AI/ML",1.0,Opted Out,Undergraduate
Full body safety harness,The KICKSTARTER,",Safety",1.0,Denied,Undergraduate
AlcoBid,The KICKSTARTER,",Fine Wine & Spirits,Marketplace",1.0,Opted Out,Undergraduate
Cor-e,The LAUNCHER,"Health,,Fitness",3.0,Opted Out,Undergraduate
Altrainative,The LAUNCHER,"Health,",2.0,Denied,Undergraduate
Smart Sprinkler,The LAUNCHER,",Agritech",2.0,Denied,Undergraduate
FireFight,The LAUNCHER,",Cyber,IOT",1.0,Denied,Undergraduate
Gardinio,The KICKSTARTER,",Mobile,AR/VR",1.0,Denied,Undergraduate
NWoBD,The KICKSTARTER,"Health,",3.0,Denied,Undergraduate
goji,The LAUNCHER,"Health,,HealthCare,Marketplace",1.0,Denied,Undergraduate
UMeGo,The LAUNCHER,",Mobile,Marketplace",1.0,Denied,Undergraduate
Pick-share: location base application for sharing stuff.,The LAUNCHER,",Mobile,Marketplace",2.0,Denied,Undergraduate
Data compound,The LAUNCHER,",AI/ML,Saas,Marketplace",2.0,Invested,Undergraduate
hubrary,The KICKSTARTER,",Marketplace",3.0,Waiting For Money,Undergraduate
Swift Response,The KICKSTARTER,",Non profit,Mobile",2.0,Denied,Undergraduate
Pie-Live Life Easy,The KICKSTARTER,"Health,,Education",2.0,Denied,Undergraduate
Fakenews hunter,The KICKSTARTER,",News and magazine/productivity",2.0,Denied,Undergraduate
Lucid Sales,The LAUNCHER,",Saas,Marketplace",4.0,Invested,Undergraduate
vsm-virtual student mall,The KICKSTARTER,",Marketplace",2.0,Opted Out,Undergraduate
Zavat,The KICKSTARTER,",HealthCare",1.0,Denied,Undergraduate
Mind Trainer (Sixth Cohort),The KICKSTARTER,"Health,,Gaming,HealthCare",3.0,Denied,Undergraduate
LifeGuard-AI,The LAUNCHER,AI/ML,1.0,Denied,Undergraduate
בזרימה,The LAUNCHER,"Legal,Government",2.0,Opted Out,Undergraduate
Manteca AI,The LAUNCHER,"Fintech,AI/ML,Saas",2.0,Denied,Undergraduate
Desert Flower Industries,The LAUNCHER,"Marketplace,Retail",2.0,Denied,Undergraduate
Perla Medical,The LAUNCHER,HealthCare,1.0,Denied,Undergraduate
Medical Dispenser,The LAUNCHER,"HealthCare,Health",1.0,Denied,Undergraduate
2nd Language,The LAUNCHER,Education,2.0,Denied,Undergraduate
NFThrone,The LAUNCHER,",Real Estate,Cyber,Government,Fintech,Blockchain,Marketplace",2.0,Denied,Undergraduate
Welfare in dairy-barn,The LAUNCHER,",AI/ML,Agritech",3.0,Opted Out,Undergraduate
SHARED ACADEMY,The LAUNCHER,",Education",2.0,Denied,Undergraduate
Ofir Englander,The KICKSTARTER,"Health,",1.0,Denied,Undergraduate
Optivf - find the optimal IVF protocol for you,The LAUNCHER,",AI/ML,HealthCare",1.0,Opted Out,Undergraduate
route.ai? (no name yet),The KICKSTARTER,",AI/ML,HealthCare",1.0,Denied,Undergraduate
clicV,The LAUNCHER,",Saas",2.0,Denied,Undergraduate
RichIQ,The LAUNCHER,",Fintech",2.0,Denied,Undergraduate
Sol,The KICKSTARTER,",Energy",1.0,Denied,Undergraduate
Ayzex Consulting,The LAUNCHER,",Real Estate,Saas,Marketplace",1.0,Denied,Undergraduate
WooCircles,The LAUNCHER,",Marketplace",1.0,Denied,Undergraduate
PlaceLess,The LAUNCHER,",AI/ML",3.0,Invested,Undergraduate
About The Fit,The LAUNCHER,",AI/ML,Retail,AR/VR,Marketplace",2.0,Opted Out,Undergraduate
RELOW,The LAUNCHER,",Retail,Marketplace",3.0,Denied,Undergraduate
Smart - Cage,The LAUNCHER,",Mobile",1.0,Denied,Undergraduate
Yes we do speak English,The KICKSTARTER,",Education",1.0,Opted Out,Undergraduate
Spokus Focus,The KICKSTARTER,",Saas",3.0,Denied,Undergraduate
reMASK,The KICKSTARTER,",ECO Engineering",2.0,Denied,Undergraduate
Loops,The LAUNCHER,",Mobile",1.0,Denied,Undergraduate
Near me,The KICKSTARTER,",Mobile",1.0,Denied,Undergraduate
Tréno,The LAUNCHER,"Health,",1.0,Denied,Undergraduate
Price Backers,The LAUNCHER,",Fintech",2.0,Invested,Undergraduate
Dialog,The LAUNCHER,",Business",2.0,Denied,Undergraduate
